area,station_name,stationCd
大和市,アーバン長窪,KD04
大和市,ウイングヤマシタ,ND31
大和市,上草柳駐車場,MJ08
大和市,上和田月極駐車場,JH88
大和市,ギャザーコート１ＳＴ,LZ29
大和市,桜ヶ丘パーキング,LI64
大和市,下和田駐車場,OM45
大和市,スクエアパーキング,MP83
大和市,セソンレオ,ED92
大和市,イオン大和ショッピングセンター第３,T564
大和市,タイムズ小田急大和第２,EA47
大和市,タイムズ高座渋谷駅前第２,DP49
大和市,タイムズ相鉄大和第３,EE69
大和市,タイムズ大和駅前第２,Q847
大和市,タイムズ大和駅前第３,BR77
大和市,タイムズ大和駅前第５,EU60
大和市,タイムズ大和中央第４,BP57
大和市,タイムズ大和徳洲会病院,LW85
大和市,タイムズ大和東第３,CQ93
大和市,タイムズ大和深見西,Y302
大和市,タイムズ大和南第３,CY75
大和市,タイムズ大和南第５,JG24
大和市,タイムズ大和柳橋,EU53
大和市,中央１号公園前,MK68
大和市,テーエス駐車場,NI87
大和市,パークセレノ,QB13
大和市,Ｂ・Ｈパーキング,LM62
大和市,深見台１丁目第２,MD66
大和市,深見西１丁目,KF80
大和市,山口第１駐車場,KO93
大和市,山口第５駐車場,NN55
大和市,大和市中央５丁目,KO75
大和市,大和市中央７丁目,LM47
大和市,大和市中央５丁目３,KW15
大和市,大和東公園,EI13
大和市,大和深見台１丁目,KO59
大和市,大和南１丁目月極,LQ17
大和市,ラークヴィラ,OK09
大和市,リリーガーデン,OE49
海老名市,Ｎ－ｓｔａｇｅかしわ台,KF65
海老名市,海老名駅西口（ＥＶ）,LL76
海老名市,海老名駅前第３,LO41
海老名市,海老名国分北２丁目,OE71
海老名市,海老名市中央３丁目,JU23
海老名市,タイムズ海老名中央公園地下（ＥＶ）,LF72
海老名市,扇町見世ビル,OL13
海老名市,小田急厚木第１駐車場（小田急）,KD03
海老名市,厚木第２駐車場（小田急）,DN33
海老名市,鍵渡駐車場,QF98
海老名市,かしわ台駅前,LD06
海老名市,クラウンハイツ海老名,MQ43
海老名市,さがみ野駅南口（屋上）,LD05
海老名市,シュリンプタワー第２,QM94
海老名市,シュリンプタワー,QM93
海老名市,セントガーデン海老名＿限定,IW70
海老名市,相鉄柏ケ谷月極パーキング,NW62
海老名市,イオン海老名ショッピングセンターＧ,CM59
海老名市,タイムズ海老名泉,KO78
海老名市,タイムズ海老名駅西口第２,BH96
海老名市,タイムズ海老名駅西口第３,BL65
海老名市,タイムズ海老名駅西口第４,HA87
海老名市,タイムズ海老名河原口,Q467
海老名市,タイムズ海老名中央第４,CE79
海老名市,タイムズ海老名中央第６,CG62
海老名市,タイムズ海老名中央公園地下,EG12
海老名市,タイムズかしわ台第３,BO13
海老名市,タイムズさがみ野相鉄ライフ第２,DB30
海老名市,スターバックスコーヒー海老名中央店,Y376
海老名市,タイムズ東柏ケ谷,BX51
海老名市,タイムズビナフロント,EW66
海老名市,東柏ケ谷５丁目６,OW93
海老名市,ＰーＲＥＸさがみ野駐車場,LZ15
海老名市,ファミール,QB12
海老名市,マイシャトーさがみ野Ａ,QB11
海老名市,マハロ壱番館,MP82
海老名市,見上駐車場,NQ58
海老名市,ＵＲえびな団地,NP43
海老名市,ロイヤルプラザ海老名駐車場,LQ02
調布市,アトラス調布,BM78
調布市,小田急パーキング西調布駅前第１,QG23
調布市,調布上石原月極駐車場,BH20
調布市,ガーデンカラー丸井,OH44
調布市,ガーラ・ヒルズ調布,NS68
調布市,クレセール調布,DH61
調布市,シスコンパーク調布小島町第１,LL57
調布市,ＵＲシティハイツ調布小島町,BZ99
調布市,下石原２丁目第２,OI63
調布市,下石原２丁目,NZ87
調布市,ＧＰガレージ調布,LQ58
調布市,タイムズ調布,EC95
調布市,タイムズ調布駅南口第４,KS56
調布市,タイムズ調布ヶ丘,T794
調布市,タイムズ調布ヶ丘第３,EC94
調布市,タイムズ調布小島町第２,CC57
調布市,タイムズ調布下石原第２,KO67
調布市,タイムズ調布下石原第３,CU53
調布市,タイムズ調布下石原第４,CP76
調布市,タイムズ調布多摩川第６（１）,Y422
調布市,タイムズ調布多摩川第８,EA20
調布市,タイムズ調布とうきゅう,BM92
調布市,タイムズ調布富士見町第３,HU03
調布市,タイムズ飛田給第２,R262
調布市,タイムズ布田,Q762
調布市,タイムズ布田第４,BG23
調布市,タイムズ布田４丁目,JR90
調布市,多摩川月極駐車場,KL68
調布市,調布駅北,CE20
調布市,調布駅東口,BJ58
調布市,調布駅東口第２,OO57
調布市,調布ヶ丘２丁目第２,ME62
調布市,調布ヶ丘３丁目,NK21
調布市,調布ケ丘３丁目第２,OX69
調布市,調布ケ丘３丁目第３,QA91
調布市,タイムズ調布小島町第２（ＥＶ）,JP71
調布市,調布小島町２丁目,NG94
調布市,調布小島町２丁目第２,OK07
調布市,調布小島町３丁目,OO38
調布市,タイムズ調布多摩川第６（２）,LY44
調布市,調布多摩川７丁目,NB64
調布市,調布病院,QH60
調布市,調布布田２丁目第２,NS86
調布市,調布布田４丁目１２,IV98
調布市,調布布田２丁目,BX54
調布市,調布ルピナス駐車場,KX68
調布市,タイムズ東都ビル布田駅前,LY51
調布市,タイムズ飛田給２丁目１１,KO01
調布市,飛田給３丁目,OI66
調布市,フィールドコート調布,LV86
調布市,布田３丁目,OM06
調布市,布田３丁目第２,QE31
調布市,布田４丁目第２,MX17
調布市,プラザ調布国領,IV99
調布市,ロックガーデン駐車場,QG75
調布市,飛田給１丁目第２,QK72
